NFR19,Source,Activity,Profile_ID,SNAP,GNFR
1A2f,Cement production - combustion,Gas oil,INDU_PRO_GEN,3,B_Industry
1A2f,Cement production - combustion,Natural gas,INDU_PRO_GEN,3,B_Industry
1A2f,Cement production - combustion,Petroleum coke,INDU_PRO_GEN,3,B_Industry
1A2f,Cement production - combustion,Scrap tyres,INDU_PRO_GEN,3,B_Industry
1A2f,Cement production - combustion,Waste oils,INDU_PRO_GEN,3,B_Industry
1A2f,Cement production - combustion,Waste,INDU_PRO_GEN,3,B_Industry
1A2f,Cement production - combustion,Waste solvent,INDU_PRO_GEN,3,B_Industry
1A2f,Lime production - non decarbonising,Lime production,INDU_PRO_GEN,3,B_Industry
1A2gvii,Industrial off-road mobile machinery,DERV,OFFR_OTH,8,I_Offroad
1A2gvii,Industrial off-road mobile machinery,Gas oil,OFFR_OTH,8,I_Offroad
1A2gvii,Industrial off-road mobile machinery,Petrol,OFFR_OTH,8,I_Offroad
1A2gviii,Other industrial combustion,Burning oil,INDU_MAN_GEN,3,B_Industry
1A2gviii,Other industrial combustion,Coal,INDU_MAN_GEN,3,B_Industry
1A2gviii,Other industrial combustion,Coke,INDU_MAN_GEN,3,B_Industry
1A2gviii,Other industrial combustion,Coke oven gas,INDU_MAN_GEN,3,B_Industry
1A2gviii,Other industrial combustion,Colliery methane,INDU_MAN_GEN,3,B_Industry
1A2gviii,Other industrial combustion,Fuel oil,INDU_MAN_GEN,3,B_Industry
1A2gviii,Other industrial combustion,Gas oil,INDU_MAN_GEN,3,B_Industry
1A2gviii,Other industrial combustion,LPG,INDU_MAN_GEN,3,B_Industry
1A2gviii,Other industrial combustion,Natural gas,INDU_MAN_GEN,3,B_Industry
1A2gviii,Other industrial combustion,OPG,INDU_MAN_GEN,3,B_Industry
1A2gviii,Other industrial combustion,Petroleum coke,INDU_MAN_GEN,3,B_Industry
1A2gviii,Other industrial combustion,SSF,INDU_MAN_GEN,3,B_Industry
1A2gviii,Other industrial combustion,Lubricants,INDU_MAN_GEN,3,B_Industry
1A2gviii,Other industrial combustion,Biomass,INDU_MAN_GEN,3,B_Industry
1A2gviii,Other industrial combustion,Wood (untreated),INDU_MAN_GEN,3,B_Industry
1A2gviii,Other industrial combustion,Wood (treated with PCP),INDU_MAN_GEN,3,B_Industry
1A2gviii,Other industrial combustion,Wood (treated with lindane),INDU_MAN_GEN,3,B_Industry
1A2gviii,Other industrial combustion,Wood (treated with creosote),INDU_MAN_GEN,3,B_Industry
1A2gviii,Autogenerators,Natural gas,MISC_ANY,3,B_Industry
1A2gviii,Autogenerators,Biogas,MISC_ANY,3,B_Industry
