NFR19,GNFR19,Source,Activity
1A3biv,F_RoadTransport,Road transport - motorcycle (>50cc  2st) - urban driving,Petrol
1A3biv,F_RoadTransport,Road transport - motorcycle (>50cc  4st) - motorway driving,Petrol
1A3biv,F_RoadTransport,Road transport - motorcycle (>50cc  4st) - rural driving,Petrol
1A3biv,F_RoadTransport,Road transport - motorcycle (>50cc  4st) - urban driving,Petrol
1A3bv,F_RoadTransport,Road transport - all vehicles biofuels use,Biodiesel
1A3bv,F_RoadTransport,Road transport - all vehicles biofuels use,Bio-MTBE
1A3bv,F_RoadTransport,Road transport - all vehicles LPG use,LPG
1A3bv,F_RoadTransport,Road transport - cars - evaporative,Petrol
1A3bv,F_RoadTransport,Road transport - LGVs - evaporative,Petrol
1A3bv,F_RoadTransport,Road transport - mopeds (<50cc 2st) - evaporative,Petrol
1A3bv,F_RoadTransport,Road transport - motorcycle (>50cc  2st) - evaporative,Petrol
1A3bv,F_RoadTransport,Road transport - motorcycle (>50cc  4st) - evaporative,Petrol
1A3bvi,F_RoadTransport,Road transport - buses and coaches - motorway driving,Brake wear
1A3bvi,F_RoadTransport,Road transport - buses and coaches - motorway driving,Tyre wear
1A3bvi,F_RoadTransport,Road transport - buses and coaches - rural driving,Brake wear
1A3bvi,F_RoadTransport,Road transport - buses and coaches - rural driving,Tyre wear
1A3bvi,F_RoadTransport,Road transport - buses and coaches - urban driving,Brake wear
1A3bvi,F_RoadTransport,Road transport - buses and coaches - urban driving,Tyre wear
1A3bvi,F_RoadTransport,Road transport - cars - motorway driving,Brake wear
1A3bvi,F_RoadTransport,Road transport - cars - motorway driving,Tyre wear
1A3bvi,F_RoadTransport,Road transport - cars - rural driving,Brake wear
1A3bvi,F_RoadTransport,Road transport - cars - rural driving,Tyre wear
1A3bvi,F_RoadTransport,Road transport - cars - urban driving,Brake wear
1A3bvi,F_RoadTransport,Road transport - cars - urban driving,Tyre wear
1A3bvi,F_RoadTransport,Road transport - HGV articulated - motorway driving,Brake wear
1A3bvi,F_RoadTransport,Road transport - HGV articulated - motorway driving,Tyre wear
1A3bvi,F_RoadTransport,Road transport - HGV articulated - rural driving,Brake wear
1A3bvi,F_RoadTransport,Road transport - HGV articulated - rural driving,Tyre wear
1A3bvi,F_RoadTransport,Road transport - HGV articulated - urban driving,Brake wear
1A3bvi,F_RoadTransport,Road transport - HGV articulated - urban driving,Tyre wear
1A3bvi,F_RoadTransport,Road transport - HGV rigid - motorway driving,Brake wear
1A3bvi,F_RoadTransport,Road transport - HGV rigid - motorway driving,Tyre wear
1A3bvi,F_RoadTransport,Road transport - HGV rigid - rural driving,Brake wear
1A3bvi,F_RoadTransport,Road transport - HGV rigid - rural driving,Tyre wear
1A3bvi,F_RoadTransport,Road transport - HGV rigid - urban driving,Brake wear
1A3bvi,F_RoadTransport,Road transport - HGV rigid - urban driving,Tyre wear
1A3bvi,F_RoadTransport,Road transport - LGVs - motorway driving,Brake wear
1A3bvi,F_RoadTransport,Road transport - LGVs - motorway driving,Tyre wear
1A3bvi,F_RoadTransport,Road transport - LGVs - rural driving,Brake wear
1A3bvi,F_RoadTransport,Road transport - LGVs - rural driving,Tyre wear
1A3bvi,F_RoadTransport,Road transport - LGVs - urban driving,Brake wear
1A3bvi,F_RoadTransport,Road transport - LGVs - urban driving,Tyre wear
1A3bvi,F_RoadTransport,Road transport - mopeds (<50cc 2st) - urban driving,Brake wear
1A3bvi,F_RoadTransport,Road transport - mopeds (<50cc 2st) - urban driving,Tyre wear
1A3bvi,F_RoadTransport,Road transport - motorcycle (>50cc  2st) - rural driving,Brake wear
1A3bvi,F_RoadTransport,Road transport - motorcycle (>50cc  2st) - rural driving,Tyre wear
1A3bvi,F_RoadTransport,Road transport - motorcycle (>50cc  2st) - urban driving,Brake wear
1A3bvi,F_RoadTransport,Road transport - motorcycle (>50cc  2st) - urban driving,Tyre wear
1A3bvi,F_RoadTransport,Road transport - motorcycle (>50cc  4st) - motorway driving,Brake wear
1A3bvi,F_RoadTransport,Road transport - motorcycle (>50cc  4st) - motorway driving,Tyre wear
1A3bvi,F_RoadTransport,Road transport - motorcycle (>50cc  4st) - rural driving,Brake wear
1A3bvi,F_RoadTransport,Road transport - motorcycle (>50cc  4st) - rural driving,Tyre wear
1A3bvi,F_RoadTransport,Road transport - motorcycle (>50cc  4st) - urban driving,Brake wear
1A3bvi,F_RoadTransport,Road transport - motorcycle (>50cc  4st) - urban driving,Tyre wear
1A3bvii,F_RoadTransport,Road transport - buses and coaches - motorway driving,Road abrasion
1A3bvii,F_RoadTransport,Road transport - buses and coaches - rural driving,Road abrasion
1A3bvii,F_RoadTransport,Road transport - buses and coaches - urban driving,Road abrasion
1A3bvii,F_RoadTransport,Road transport - cars - motorway driving,Road abrasion
1A3bvii,F_RoadTransport,Road transport - cars - rural driving,Road abrasion
1A3bvii,F_RoadTransport,Road transport - cars - urban driving,Road abrasion
1A3bvii,F_RoadTransport,Road transport - HGV articulated - motorway driving,Road abrasion
1A3bvii,F_RoadTransport,Road transport - HGV articulated - rural driving,Road abrasion
1A3bvii,F_RoadTransport,Road transport - HGV articulated - urban driving,Road abrasion
1A3bvii,F_RoadTransport,Road transport - HGV rigid - motorway driving,Road abrasion
1A3bvii,F_RoadTransport,Road transport - HGV rigid - rural driving,Road abrasion
1A3bvii,F_RoadTransport,Road transport - HGV rigid - urban driving,Road abrasion
1A3bvii,F_RoadTransport,Road transport - LGVs - motorway driving,Road abrasion
1A3bvii,F_RoadTransport,Road transport - LGVs - rural driving,Road abrasion
1A3bvii,F_RoadTransport,Road transport - LGVs - urban driving,Road abrasion
1A3bvii,F_RoadTransport,Road transport - mopeds (<50cc 2st) - urban driving,Road abrasion
1A3bvii,F_RoadTransport,Road transport - motorcycle (>50cc  2st) - rural driving,Road abrasion
1A3bvii,F_RoadTransport,Road transport - motorcycle (>50cc  2st) - urban driving,Road abrasion
1A3bvii,F_RoadTransport,Road transport - motorcycle (>50cc  4st) - motorway driving,Road abrasion
1A3bvii,F_RoadTransport,Road transport - motorcycle (>50cc  4st) - rural driving,Road abrasion
1A3bvii,F_RoadTransport,Road transport - motorcycle (>50cc  4st) - urban driving,Road abrasion
1A3c,I_Offroad,Rail - coal,Coal
1A3c,I_Offroad,Railways - freight,Gas oil
1A3c,I_Offroad,Railways - intercity,Gas oil
1A3c,I_Offroad,Railways - regional,Gas oil
1A3d,G_Shipping,Inland goods-carrying vessels,DERV
1A3d,G_Shipping,Inland goods-carrying vessels,Gas oil
1A3d,G_Shipping,Inland goods-carrying vessels,Petrol
1A3d,G_Shipping,"Motorboats / workboats (e.g. canal boats, dredgers, service boats, tourist boats, river boats)",DERV
1A3d,G_Shipping,"Motorboats / workboats (e.g. canal boats, dredgers, service boats, tourist boats, river boats)",Gas oil
1A3d,G_Shipping,"Motorboats / workboats (e.g. canal boats, dredgers, service boats, tourist boats, river boats)",Petrol
1A3d,G_Shipping,Personal watercraft e.g. jet ski,DERV
1A3d,G_Shipping,Personal watercraft e.g. jet ski,Gas oil
1A3d,G_Shipping,Personal watercraft e.g. jet ski,Petrol
1A3d,G_Shipping,Sailing boats with auxiliary engines,DERV
1A3d,G_Shipping,Sailing boats with auxiliary engines,Gas oil
1A3d,G_Shipping,Sailing boats with auxiliary engines,Petrol
1A3d,G_Shipping,Shipping - coastal,Fuel oil
1A3d,G_Shipping,Shipping - coastal,Gas oil
1A3d,G_Shipping,Shipping between UK and Bermuda,Fuel oil
1A3d,G_Shipping,Shipping between UK and CDs,Fuel oil
1A3d,G_Shipping,Shipping between UK and CDs,Gas oil
1A3d,G_Shipping,Shipping between UK and Gibraltar,Fuel oil
1A3d,G_Shipping,Shipping between UK and OTs (excl. Gib and Bermuda),Fuel oil
1A3dii,G_Shipping,Inland goods-carrying vessels,DERV
1A3dii,G_Shipping,Inland goods-carrying vessels,Gas oil
1A3dii,G_Shipping,Inland goods-carrying vessels,Petrol
1A3dii,G_Shipping,Marine engines,Lubricants
1A3dii,G_Shipping,"Motorboats / workboats (e.g. canal boats, dredgers, service boats, tourist boats, river boats)",DERV
1A3dii,G_Shipping,"Motorboats / workboats (e.g. canal boats, dredgers, service boats, tourist boats, river boats)",Gas oil
1A3dii,G_Shipping,"Motorboats / workboats (e.g. canal boats, dredgers, service boats, tourist boats, river boats)",Petrol
1A3dii,G_Shipping,Personal watercraft e.g. jet ski,DERV
1A3dii,G_Shipping,Personal watercraft e.g. jet ski,Gas oil
1A3dii,G_Shipping,Personal watercraft e.g. jet ski,Petrol
1A3dii,G_Shipping,Sailing boats with auxiliary engines,DERV
1A3dii,G_Shipping,Sailing boats with auxiliary engines,Gas oil
1A3dii,G_Shipping,Sailing boats with auxiliary engines,Petrol
1A3dii,G_Shipping,Shipping - coastal,Fuel oil
1A3dii,G_Shipping,Shipping - coastal,Gas oil
1A3dii,G_Shipping,Shipping between UK and Bermuda,Fuel oil
1A3dii,G_Shipping,Shipping between UK and CDs,Fuel oil
1A3dii,G_Shipping,Shipping between UK and CDs,Gas oil
1A3dii,G_Shipping,Shipping between UK and Gibraltar,Fuel oil
1A3dii,G_Shipping,Shipping between UK and OTs (excl. Gib and Bermuda),Fuel oil
1A3eii,I_Offroad,Aircraft - support vehicles,Gas oil
1A4ai,C_OtherStationaryComb,Miscellaneous industrial/commercial combustion,Coal
1A4ai,C_OtherStationaryComb,Miscellaneous industrial/commercial combustion,Coke
1A4ai,C_OtherStationaryComb,Miscellaneous industrial/commercial combustion,Fuel oil
1A4ai,C_OtherStationaryComb,Miscellaneous industrial/commercial combustion,Gas oil
1A4ai,C_OtherStationaryComb,Miscellaneous industrial/commercial combustion,LPG
1A4ai,C_OtherStationaryComb,Miscellaneous industrial/commercial combustion,Natural gas
1A4ai,C_OtherStationaryComb,Miscellaneous industrial/commercial combustion,SSF
1A4ai,C_OtherStationaryComb,Miscellaneous industrial/commercial combustion,Town gas
1A4ai,C_OtherStationaryComb,Public sector combustion,Burning oil
1A4ai,C_OtherStationaryComb,Public sector combustion,Coal
1A4ai,C_OtherStationaryComb,Public sector combustion,Coke
1A4ai,C_OtherStationaryComb,Public sector combustion,Fuel oil
1A4ai,C_OtherStationaryComb,Public sector combustion,Gas oil
1A4ai,C_OtherStationaryComb,Public sector combustion,Natural gas
1A4ai,C_OtherStationaryComb,Public sector combustion,Town gas
