Gas,NFR/CRF Group,Source,Activity,Units,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
PMco (Particulate Matter coarse fraction),1A1b,Refineries - combustion,Natural gas,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75782E-19,0,0,9.75782E-19,9.75782E-19,0,0,0,0,0,0,0,0,0,0,0,1.04083E-17,9.54098E-18,0,9.97466E-18,0,-9.97466E-18,1.99493E-17,-1.99493E-17,-9.97466E-18,0,0,9.54098E-18,0,1.04083E-17,0,0,0,9.54098E-18,0,0
PMco (Particulate Matter coarse fraction),1A1b,Refineries - combustion,OPG,kilotonne,0,9.99201E-16,0,0,0,1.01308E-15,0,0,0,0,9.99201E-16,0,0,9.99201E-16,0,0,0,0,9.99201E-16,0,9.99201E-16,9.99201E-16,0,9.99201E-16,9.99201E-16,9.99201E-16,0,0,9.99201E-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.11022E-16,0,0,0,0,0,0
PMco (Particulate Matter coarse fraction),1A1b,Refineries - combustion,Petrol,kilotonne,0.000400064,0.000400064,0.000400064,0.000400064,0.000400064,0.000400064,0.000400064,0.000400064,0.000400064,0.000400064,0,0,0.000400064,0,0.000400064,0,0,0,0,0,0,0,0,0,0,0,0.000800128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMco (Particulate Matter coarse fraction),1A1b,Refineries - combustion,Petroleum coke,kilotonne,0.134388577,0.146708588,0.162284685,0.175724697,0.170748198,0.163843449,0.17863439,0.172480158,0.185562232,0.207417339,0.192572361,0.20040721,0.253189356,0.316692876,0.363701974,0.365351416,0.369062661,0.378959313,0.409473991,0.41607176,0.402463863,0.430092017,0.431741459,0.441225751,0.390917768,0.472977511,0.460606695,0.487822489,0.491121373,0.4804,0.4444,0.362,0.38874,0.3972,0.38176,0.4144,0.365098103,0.301041414,0.320275214,0.451992237,0.28788147,0.374461973,0.312841831,0.301891243,0.234965212,0.248007544,0.261481512,0.31200846,0.27433226,0.208475273
PMco (Particulate Matter coarse fraction),1A1c,Coke production,Blast furnace gas,kilotonne,0.003488183,0.002706349,0.001714021,0.001293033,0.001353174,0.001052469,0.001473457,0.001563668,0.001533598,0.00165388,0.00054127,0.000781834,0.000872046,0.001052469,0.000872046,0.000962257,0.000992328,0.001052469,0.001202548,0.001263086,0.00119947,0.001085577,0.001008622,0.001005544,0.001071212,0.001095837,0.001151245,0.001166636,0.00111328,0.001111228,0.001084551,0.000665916,0.000522812,0.00044326,0.000304741,0.000292201,0.000550396,0.000720882,0.000655248,0.000519071,0.000750796,0.000674474,0.000689197,0.000770891,0.000729532,0.000657981,0.000648801,0.000583842,0.000619937,0.000575296
PMco (Particulate Matter coarse fraction),1A1c,Coke production,Coke oven gas,kilotonne,0.011984874,0.012414439,0.011362004,0.013295048,0.011383482,0.012092265,0.011834526,0.010631743,0.009042351,0.009514873,0.00781809,0.006744176,0.006379046,0.006164263,0.00483261,0.006422002,0.006250176,0.006121307,0.005756039,0.005491469,0.00564684,0.005155078,0.004479362,0.004022778,0.004148101,0.003899979,0.004648074,0.004579048,0.005307554,0.00492791,0.005181628,0.004402751,0.003982604,0.004165823,0.004035233,0.004030114,0.003993824,0.003943682,0.004057098,0.003626388,0.003601216,0.003574127,0.003559533,0.00339841,0.003474588,0.002970804,0.00146317,0.001441861,0.00139662,0.00128481
PMco (Particulate Matter coarse fraction),1A1c,Coke production,Colliery methane,kilotonne,0.000191358,0.000136684,5.46737E-05,5.46737E-05,5.46737E-05,8.20106E-05,8.20106E-05,0.000136684,0.000109347,8.20106E-05,0.000136684,0.000191358,0.000164021,0.000109347,2.73369E-05,0.000109347,2.73369E-05,2.73369E-05,2.70508E-05,2.70508E-05,2.70508E-05,2.70508E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMco (Particulate Matter coarse fraction),1A1c,Coke production,Natural gas,kilotonne,3.19728E-06,6.42235E-06,1.00367E-05,1.06483E-05,1.07873E-05,1.02035E-05,1.21218E-05,1.34564E-05,1.23999E-05,1.49577E-05,1.25389E-05,1.13712E-05,1.01479E-05,1.08429E-05,1.24833E-05,1.24833E-05,1.16492E-05,1.29281E-05,1.24001E-05,1.29902E-05,1.28962E-05,1.19201E-05,1.31941E-05,1.47775E-05,1.92836E-05,1.11642E-05,2.33434E-05,1.52239E-05,7.1045E-06,1.31941E-05,1.72538E-05,9.13436E-06,0,1.01493E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMco (Particulate Matter coarse fraction),1A1c,Collieries - combustion,Coal,kilotonne,0.4719429,0.39736125,0.34747713,0.34747713,0.29808207,0.293436,0.26873847,0.26873847,0.24453,0.19537947,0.1528227,0.15063048,0.13057902,0.11884158,0.05110677,0.08118396,0.07482618,0.05746455,0.04792788,0.03570138,0.0286416,0.0268128,0.018980145,0.01153224,0.00530442,0.00192888,0.0019152,0.00190152,0.0012654,0.00250515,0.003036369,0.002548002,0.002285706,0.001542936,0.002042126,0.001465274,0.000965539,0.001173939,0.001341174,0.00121576,0.001230692,0.000936911,0.000949304,0.000644436,0.000151195,0,0,0,0,0
PMco (Particulate Matter coarse fraction),1A1c,Collieries - combustion,Coke oven gas,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
