
"Gas","NFR/CRF Group","Source","Activity","Units","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Nitrogen oxides (NOx expressed as NO2)","1A1a","Heat supply","Sewage gas","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.354212480039151","0.340335447106874","0.34737749360226","0.43673181999128","0.43673181999128","0.341353606429966","0.523074202794154","0.587328999298618","0.587328999298618","0.584317055712471","0.543153826701799","0.544157807897181","0.484722121130552","0.49556511804068","0.536427152692738","0.527391321934298","0.527391321934298","0.53120645047675","0.443157299641727","0.496769895475139","0.499279848463595","0.511528419047258","0.579799140333251","0.645760704869865","0.63983721581711","0.685819554565617","0.680197259871477","0.729091144086592","0.753789081492996","0.806598492370102","0.821557812181298","0.902077104050955","0.903081085246337"
"Nitrogen oxides (NOx expressed as NO2)","1A1b","Refineries - combustion","Fuel oil","kilotonne","25.4128019087756","23.7799773753167","24.801280751457","27.3293218244958","26.6358442234128","23.7169339570365","22.5506307188515","21.5230230008832","23.2188909526223","24.3662811653232","24.2338899869346","20.5269369920549","20.3188937117301","16.9334621500797","15.9688978503916","14.3360733169327","13.9578128072511","12.759987859926","12.8482486455184","13.1256396859516","13.2454221806841","12.8255678150827","13.1651336296313","11.3693597037354","12.0371114325726","10.2073653638938","9.6264044524617","8.97915479032963","9.65347647544219","7.19039047146726","4.6052498716898","6.72134687225784","7.40831824702709","6.12456672255793","5.62615279764743","5.02279062104345","4.66600264936927","5.18012018542699","3.68421855293866","3.65051229254085","2.13541473019915","2.06356045515668","1.22096070715709","1.22811041919068","0.469388794826994","0.91585590113467","1.02811905651563","0.839981320525084","0.83248518527258","0.556476882768636","0.4192608589668"
"Nitrogen oxides (NOx expressed as NO2)","1A1b","Refineries - combustion","Gas oil","kilotonne","5.3669837287145","5.27900038889951","6.86270050556936","6.95068384538435","7.65455056390428","9.72215904955659","8.93030899122166","8.79833398149918","8.44640062223921","7.08265885510684","7.65455056390428","8.5343839620542","5.80690042778946","3.2113919032472","2.63950019444975","2.33155850509728","1.97962514583732","3.07941689352471","3.47534192269218","3.03542522361722","2.99143355370971","2.56137240652053","2.56137240652053","2.30359195479957","2.82273838625501","3.01990124690832","3.31486765273116","4.07002388035428","4.87799046482718","3.31058055882299","4.46317174987888","1.34316429539071","1.24454655918577","4.19121266613809","4.47604996127215","4.53981374878192","1.41225682163418","0","0","0","0","0.0147453944769607","0.000979634168929788","0","0","0","0.000307083669350455","0.000280598963948366","0.000287001132947624","0.000313738252272992","0.000330282502048731"
"Nitrogen oxides (NOx expressed as NO2)","1A1b","Refineries - combustion","LPG","kilotonne","0.227428485410743","0.263610289907907","0.341142728116115","0.408337507896561","0.397999849468801","0.366986874185517","0.39283102025492","0.403168678682681","0.0878700966359687","0.0620259505665664","0.0413506337110442","0.0155064876416416","0.0413506337110442","0.165402534844177","0.232597314624624","0.191246680913579","0.0413506337110442","0.0516882921388052","0.0361301162050248","0.0423327112616815","0.0419738861755779","0.0365972895241008","0.034728491761168","0.0233051822658702","0.0110606860247815","0.0147580421892907","0.0157873519497624","0.0161324263113441","0.062695626042606","0.059808675506108","0.0548240011278704","0.0644925198579022","0.0134555059135969","0.021942078464236","0.0247615403306454","0.051528239969086","0.0749765887381157","0.0811679294331673","0.0092851973752904","0.010924448889466","0.00858975541937116","0.0210255465107323","0.0134887133593255","0.00909108438252658","0.0137020449062434","0.0112062656825923","0.0139242737788714","0.0142790585191138","0.0172652227508019","0.0162016056160988","0.0170559409145958"
"Nitrogen oxides (NOx expressed as NO2)","1A1b","Refineries - combustion","Refinery miscellaneous","kilotonne","1.60613357111358","1.60613357111358","1.60613357111358","1.60613357111358","1.60613357111358","1.60613357111358","1.60613357111358","1.60613357111358","1.60613357111358","0.549466748012542","0.126800018772125","0.169066691696167","0.295866710468292","1.43706687941742","1.69066691696167","1.81746693573379","1.98653362742996","1.85973360865783","1.31026686064529","1.26800018772125","0.887600131404879","1.60851472814028","1.72073668591751","1.81385678183056","1.85655360061277","0.922251013468825","1.48740678931532","0","0","0","0.389062337546151","0.850102862846235","0.256686787501312","0","0","0","0","0","0","0","0","0","0","1.38383854616505","0","1.22347606632363","0","0","0","0","0"
"Nitrogen oxides (NOx expressed as NO2)","1A1b","Refineries - combustion","Naphtha","kilotonne","8.58087732480321","8.58087732480321","8.58087732480321","8.58087732480321","8.58087732480321","8.58087732480321","8.58087732480321","8.58087732480321","8.58087732480321","7.59618648425203","5.86125500328088","3.84498328215226","3.89187332217851","2.15694184120737","1.73493148097114","1.21914104068242","1.96938168110238","1.73493148097114","1.40670120078741","0.984690840551189","5.15753213571976","4.71714046394894","4.67575915696257","3.77066093030803","3.52594473305678","2.6666614510361","2.54861784539489","2.84708422442771","3.22192851951895","3.19530315681376","2.85352318150152","3.47400139169982","2.77915543268916","2.13433931946746","2.24119783882275","2.04345924609672","2.88752486574674","3.12629684942643","2.91539838668374","0.476802167249799","4.72724556519188","2.95862210663529","4.78885834211595","2.71885815235751","4.18790199700707","3.0026166940156","1.55655606544605","2.31789169104923","1.64830131737196","0.750297749205363","0"
"Nitrogen oxides (NOx expressed as NO2)","1A1b","Refineries - combustion","Natural gas","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0.379781939853106","0.144916792838685","0.039977046300327","0.0499713078754088","0.0549684386629498","0.0549684386629498","0.0499713078754088","0.0463880954103571","0.0420142112294019","0.292141827186522","0.308318233998518","0.249084542804302","0.285062273398819","0.329881829753429","0.321625831132548","0.437534368313858","0.462095328102146","0.574576180667195","0.790626823607983","0.793271190629689","0.642378041594422","0.653223231791251","0.953363457723187","1.46706297318632","1.62661592852966","1.17224169193716","1.3628364579066","1.13441687964505","1.47351615814227","1.15702515031593","1.20810315840879","1.27361533915002","1.13181922012316","1.51667459921622","1.29292973533388","1.61957329954252","1.79354993864596","1.85387447629216"
"Nitrogen oxides (NOx expressed as NO2)","1A1b","Refineries - combustion","OPG","kilotonne","6.46527673894634","7.67542678005215","7.40799030687954","7.88937595859018","7.77571545749181","6.71934138846026","7.76234363383323","7.60188174992964","7.7222281628573","7.21409886382944","6.54550768089811","5.70976870223389","6.09086567650478","6.18446844211517","6.21121208943242","6.48533447443428","7.51496489614863","7.40130439505025","8.13648725980161","8.51243608196388","8.66026558426683","7.4539327107895","7.3701376558594","6.56964175923389","6.50400425867525","6.26523179288749","6.32754075289425","5.54458374168918","5.95326569258643","5.50971423340992","5.15954176166696","4.92386235924731","4.77582262798286","3.59359123747837","4.60861463013577","4.33514468638563","6.66546245873494","6.42814432054212","8.42410500336658","9.56911770157267","6.46439933080407","6.95776122650309","4.43527622986119","4.49975782111586","3.85206642682342","3.66461108000748","5.40625430268934","5.03446549784868","4.66968601132666","4.85642086434806","4.83324150234258"
"Nitrogen oxides (NOx expressed as NO2)","1A1b","Refineries - combustion","Petrol","kilotonne","0.0298982632357455","0.0298982632357455","0.0298982632357455","0.0298982632357455","0.0298982632357455","0.0298982632357455","0.0298982632357455","0.0298982632357455","0.0298982632357455","0.0298982632357455","0","0","0.0298982632357455","0","0.0298982632357455","0","0","0","0","0","0","0","0","0","0","0","0.0597965264714909","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nitrogen oxides (NOx expressed as NO2)","1A1b","Refineries - combustion","Petroleum coke","kilotonne","2.29249456029614","2.50265794503433","2.76836592834764","2.99763507981116","2.91274246282403","2.79495641718884","3.04727066836052","2.94228745667811","3.16545064377682","3.53827038626609","3.28503433476395","3.41868669527897","4.31908154506438","5.40236909871245","6.20428326180258","6.23242060085837","6.29572961373391","6.46455364806867","6.98509442060086","7.09764377682404","6.86551072961373","7.33681115879828","7.36494849785408","7.52673819742489","6.66854935622318","8.06838197424893","7.85735193133047","8.32161802575107","8.37789270386266","8.195","8.07","7.883","11.705","8.155","10.391","11.213","9.4101936215785","9.65566231392975","8.85842162843988","8.3533691698619","7.3788822261376","8.20702811257497","8.41589525992041","6.3124556574862","5.55880876861005","5.59773331564237","6.49115262757402","6.18536557795846","5.51221842169766","4.92474821208444","4.05906793898182"
