
"Gas","NFR/CRF Group","Source","Activity","Units","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Nitrous Oxide","1A1ai","Power stations","Sewage gas","kilotonne","0.0003947147568","0.0004099547088","0.0004099547088","0.0004716765144","0.0004507215804","0.0005128243848","0.0005128243848","0.0005093953956","0.000481963482","0.0005128243848","0.0004587225552","0.00045346477176","0.0004592940534","0.00042862365","0.00047297191032","0.00058220426628","0.00055591534908","0.00061672275756","0.00068515014204","0.00075353942664","0.00090403395264","0.00096842274984","0.00092285529336","0.00095714518536","0.0010498421934","0.00111762187992","0.00118745895996","0.00120879489276","0.00123961769568","0.00131033107296","0.00133307670132"
"Nitrous Oxide","1A1ai","Power stations","OPG","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nitrous Oxide","1A1ai","Power stations","Orimulsion","kilotonne","0.0026226","0.00707256","0.02175912","0.023958720006768","0.02076084","0.02158992","0.0147542399993232","0.00307944","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nitrous Oxide","1A1ai","Power stations","Petroleum coke","kilotonne","0","0","0","0","0","0","0","0.00044676885","0","0","0","0","0","0","0","0.001663534877598","0.0021920823456","0.003343131902736","0.00551140402362","0.00886177687468332","0.00374746621770196","0.00083350332","0.0019645879512","0.000889126128","0","0.000584882784","0","0","0","0","0"
"Nitrous Oxide","1A1ai","Power stations","Straw","kilotonne","0","0","0","0","0","0","0","0","0","0","0.00118202793353274","0.0097949978292744","0.00767029341292428","0.0110617193530603","0.0103841706310353","0.00905098684813832","0.00941950091670096","0.00880829297727608","0.00935646153281408","0.0090514424486076","0.00966324726495888","0.0092929619113924","0.0107230940091139","0.0110096993493671","0.0123277495637588","0.0125817051751308","0.0250154036172198","0.0253128467797216","0.0246196608653769","0.0356894336142524","0.03635066649388"
"Nitrous Oxide","1A1ai","Power stations","Wood","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0024795434896","0.0649524062888","0.0516199805983528","0.063861684330964","0.09324241197896","0.0904517367326728","0.110739525459933","0.134237281003306","0.163922238209381","0.259395575619665","0.35679073048536","0.49868267396994","0.488010313126552","0.495302893522252","0.585512126356432","0.646498723233016","0.661181908468692"
"Nitrous Oxide","1A1ai","Power stations","MSW","kilotonne","0.0140034326755556","0.0138742600266667","0.0164765556977778","0.0231584692888889","0.03597474832","0.0397805007911111","0.0386952283822222","0.0507821008053333","0.0720130528444445","0.0696520307715556","0.0713987191306667","0.0769118853937778","0.0823433705048889","0.081910596432","0.079452903656","0.0794189491037896","0.0886292701633684","0.0886956465654736","0.0902514255395788","0.112094219281628","0.113611222003394","0.110298056745124","0.13193973378696","0.121308916160845","0.155821512006372","0.210523711151799","0.261513817332793","0.275470532957973","0.319627455736958","0.358378575559848","0.367549057680591"
"Nitrous Oxide","1A1ai","Power stations","Scrap tyres","kilotonne","0","0","0","0","0.0065664","0.0065664","0.0102144","0.0111872","0.0080256","0.00608","0.0019808810856512","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nitrous Oxide","1A1ai","Power stations","Sour gas","kilotonne","0","0","0.0028755486","0.0073302354","0.0082335852","0.0085059693","0.0087369786","0.0069923412","0.0043236666","0.0038237211","0.0021514896","0.0011309112","0.0010412658","0.0005620077","0.0005999346","0.00044324282276814","0.000147004786103444","9.78496021269312e-06","0","5.95476129424684e-05","0","0","0","0","0","0","0","0","0","0","0.000791243759072005"
"Nitrous Oxide","1A1ai","Power stations","Waste oils","kilotonne","0.0180311149403732","0.0170068364827215","0.0179822144471545","0.0188195935669696","0.0189373832911582","0.0217412005192933","0.0213953014637539","0.02200432411016","0.0202481716249717","0.0194155800972","0.0212736125428797","0.024203382654797","0.0254628558745914","0.0285172901654484","0.0318892750048841","0.0261538903328167","0","0","0","0.00951594199822436","0.0108246120638838","0.00916501890514348","0.00769200867872544","0.00816334209357692","0.00812607410877048","0.00765003008691848","0.00760272878719356","0.00772708629713468","0.00688696824792472","0.0066796754074172","0.00547329626743128"
