Profile_ID,Pollutant,Year,hdd,hdd_coeff
MEAN_HDD,All,0,304,0.002728268
MEAN_HDD,All,0,305,0.002858879
MEAN_HDD,All,0,306,0.002964845
MEAN_HDD,All,0,307,0.003088297
MEAN_HDD,All,0,308,0.003275568
MEAN_HDD,All,0,309,0.003319024
MEAN_HDD,All,0,310,0.003360681
MEAN_HDD,All,0,311,0.003304617
MEAN_HDD,All,0,312,0.003253363
MEAN_HDD,All,0,313,0.003447784
MEAN_HDD,All,0,314,0.003462809
MEAN_HDD,All,0,315,0.003410569
MEAN_HDD,All,0,316,0.00352511
MEAN_HDD,All,0,317,0.00366581
MEAN_HDD,All,0,318,0.003727479
MEAN_HDD,All,0,319,0.003727954
MEAN_HDD,All,0,320,0.003889831
MEAN_HDD,All,0,321,0.003944946
MEAN_HDD,All,0,322,0.003867815
MEAN_HDD,All,0,323,0.003964052
MEAN_HDD,All,0,324,0.004117039
MEAN_HDD,All,0,325,0.004131812
MEAN_HDD,All,0,326,0.004037987
MEAN_HDD,All,0,327,0.004008006
MEAN_HDD,All,0,328,0.003956281
MEAN_HDD,All,0,329,0.003987191
MEAN_HDD,All,0,330,0.004048234
MEAN_HDD,All,0,331,0.00405805
MEAN_HDD,All,0,332,0.004192217
MEAN_HDD,All,0,333,0.004294446
MEAN_HDD,All,0,334,0.004305037
MEAN_HDD,All,0,335,0.004251252
MEAN_HDD,All,0,336,0.004191402
MEAN_HDD,All,0,337,0.004140941
MEAN_HDD,All,0,338,0.00425974
MEAN_HDD,All,0,339,0.004242155
MEAN_HDD,All,0,340,0.004373654
MEAN_HDD,All,0,341,0.004478294
MEAN_HDD,All,0,342,0.004449249
MEAN_HDD,All,0,343,0.004418764
MEAN_HDD,All,0,344,0.004364119
MEAN_HDD,All,0,345,0.004370758
MEAN_HDD,All,0,346,0.004454166
MEAN_HDD,All,0,347,0.004413126
MEAN_HDD,All,0,348,0.004443209
MEAN_HDD,All,0,349,0.004374774
MEAN_HDD,All,0,350,0.004425494
MEAN_HDD,All,0,351,0.004548705
MEAN_HDD,All,0,352,0.004635956
MEAN_HDD,All,0,353,0.004676042
MEAN_HDD,All,0,354,0.004763235
MEAN_HDD,All,0,355,0.004578684
MEAN_HDD,All,0,356,0.004483383
MEAN_HDD,All,0,357,0.00439171
MEAN_HDD,All,0,358,0.004399519
MEAN_HDD,All,0,359,0.004573687
MEAN_HDD,All,0,360,0.004651354
MEAN_HDD,All,0,361,0.004808171
MEAN_HDD,All,0,362,0.004844457
MEAN_HDD,All,0,363,0.004883093
MEAN_HDD,All,0,364,0.004843436
MEAN_HDD,All,0,365,0.004773992
