Pollutant,sector,hour,coeff,coeff_l,coeff_u
CO2,10,6,0.962600197124831,0.951990835756559,0.973209558493103
CO2,10,7,0.986806400769433,0.975833183336232,0.997779618202634
CO2,10,8,1.01579247945725,1.0042748458963,1.02731011301821
CO2,10,9,1.04669889108912,1.03637760840021,1.05702017377804
CO2,10,10,1.07607642646736,1.06443074181459,1.08772211112012
CO2,10,11,1.10039926772276,1.08961678211026,1.11118175333526
CO2,10,12,1.11593602933331,1.10515354372081,1.12671851494581
CO2,10,13,1.11887005222478,1.10722436757202,1.13051573687755
CO2,10,14,1.10745532199439,1.09713403930547,1.1177766046833
CO2,10,15,1.08428922733882,1.07277159377787,1.09580686089977
CO2,10,16,1.05266885240982,1.04169563497662,1.06364206984302
CO2,10,17,1.01766739339772,1.00705803202945,1.02827675476599
CO2,10,18,0.985502464796529,0.973774544711565,0.997230384881493
CO2,10,19,0.960956189864147,0.950600989920004,0.97131138980829
CO2,10,20,0.94462655721892,0.933279264923785,0.955973849514057
CO2,10,21,0.936268352735336,0.9252102041723,0.947326501298372
CO2,10,22,0.933922626610943,0.924496602212823,0.943348651009062
CO2,10,23,0.934148093504546,0.924103731917209,0.944192455091882
CO2,11,0,0.999998109498184,0.999996326148851,0.999999892847517
CO2,11,1,0.999997920832766,0.999996145260425,0.999999696405107
CO2,11,2,0.999997879431404,0.999996061275708,0.999999697587099
CO2,11,3,0.999998006296233,0.999996154986381,0.999999857606084
CO2,11,4,0.999998302038688,0.999996444871547,1.00000015920583
CO2,11,5,0.999998743696409,0.999996851057608,1.00000063633521
CO2,11,6,0.999999304108621,0.999997423319815,1.00000118489743
CO2,11,7,0.999999939969499,0.999998050898571,1.00000182904043
CO2,11,8,1.00000060228016,0.999998703647529,1.00000250091278
CO2,11,9,1.00000123721596,0.999999357936039,1.00000311649587
CO2,11,10,1.00000178348109,0.999999883237096,1.00000368372508
CO2,11,11,1.00000218221698,1.00000029645875,1.0000040679752
CO2,11,12,1.00000239902489,1.00000051326666,1.00000428478312
CO2,11,13,1.00000241130643,1.00000051106244,1.00000431155042
CO2,11,14,1.00000221863929,1.00000033935937,1.0000040979192
CO2,11,15,1.00000186695375,0.999999968321125,1.00000376558638
CO2,11,16,1.00000140745067,0.999999518379737,1.00000329652159
CO2,11,17,1.00000088475038,0.999999003961575,1.00000276553919
CO2,11,18,1.00000033922136,0.99999844658256,1.00000223186016
CO2,11,19,0.999999804765957,0.999997947598816,1.0000016619331
CO2,11,20,0.999999296890254,0.999997445580402,1.00000114820011
CO2,11,21,0.999998828373415,0.999997010217719,1.00000064652911
CO2,11,22,0.999998422059449,0.999996646487108,1.00000019763179
CO2,11,23,0.999998109498184,0.999996326148851,0.999999892847517
CO2,2,0,0.738331529010611,0.72907414104713,0.747588916974091
CO2,2,1,0.608749786184155,0.600339297733608,0.617160274634702
CO2,2,2,0.530158715129724,0.519756477297286,0.540560952962162
CO2,2,3,0.485163924278588,0.474579719406364,0.495748129150812
CO2,2,4,0.479446468759629,0.470161030068447,0.488731907450812
CO2,2,5,0.545365045324319,0.534202333741498,0.556527756907141
CO2,2,6,0.704225496742303,0.694595305379552,0.713855688105053
CO2,2,7,0.907169659138334,0.897014846311723,0.917324471964946
CO2,2,8,1.081481463308,1.07059552968299,1.092367396933
CO2,2,9,1.1864716976413,1.17722850669475,1.19571488858785
CO2,2,10,1.23113073938435,1.22006784068904,1.24219363807966
CO2,2,11,1.22955870094089,1.2196685511827,1.23944885069908
CO2,2,12,1.20249671250846,1.19260656275026,1.21238686226665
CO2,2,13,1.17383780902069,1.16277491032538,1.184900707716
CO2,2,14,1.16505690049956,1.15581370955301,1.17430009144611
CO2,2,15,1.19251719534905,1.18163126172405,1.20340312897405
CO2,2,16,1.26835279159183,1.25819797876522,1.27850760441844
CO2,2,17,1.36301685749633,1.35338666613358,1.37264704885908
CO2,2,18,1.42008671271596,1.40892400113314,1.43124942429878
CO2,2,19,1.3977050067379,1.38841956804672,1.40699044542908
CO2,2,20,1.29720084639803,1.28661664152581,1.30778505127026
CO2,2,21,1.12886330876116,1.11846107092872,1.13926554659359
CO2,2,22,0.925281104068213,0.916870615617666,0.93369159251876
CO2,2,23,0.738331529010611,0.72907414104713,0.747588916974091
CO2,3,0,0.880751242375581,0.879951118461998,0.881551366289164
CO2,3,1,0.901735332298361,0.901008893951658,0.902461770645063
CO2,3,2,0.93671435484234,0.935814933807772,0.937613775876909
CO2,3,3,0.967786382667264,0.966871406056124,0.968701359278404
CO2,3,4,0.989372298162763,0.988570208241881,0.990174388083646
CO2,3,5,1.01013944689924,1.00917400873732,1.01110488506115
CO2,3,6,1.03710393714274,1.0362718799078,1.03793599437768
CO2,3,7,1.06360136947695,1.06272358313698,1.06447915581692
CO2,3,8,1.07834897684042,1.07740759498998,1.07929035869085
CO2,3,9,1.07831392599035,1.07751552626415,1.07911232571655
CO2,3,10,1.07325818242468,1.07230138411655,1.0742149807328
CO2,3,11,1.07276524873139,1.07191051002928,1.07361998743351
CO2,3,12,1.07626048398112,1.075405745279,1.07711522268324
CO2,3,13,1.07833164530589,1.07737484699777,1.07928844361402
CO2,3,14,1.07459774217545,1.07379934244924,1.07539614190165
CO2,3,15,1.06290287760531,1.06196149575487,1.06384425945575
CO2,3,16,1.04175949909612,1.04088171275615,1.04263728543608
CO2,3,17,1.01419248008834,1.0133604228534,1.01502453732327
CO2,3,18,0.986135691824679,0.985170253662762,0.987101129986596
CO2,3,19,0.961335765631747,0.960533675710864,0.96213785555263
CO2,3,20,0.937108153929467,0.936193177318327,0.938023130540607
CO2,3,21,0.910145329616964,0.909245908582395,0.911044750651533
CO2,3,22,0.886588390517273,0.88586195217057,0.887314828863976
CO2,3,23,0.880751242375581,0.879951118461998,0.881551366289164
CO2,4,0,0.870927146402982,0.87079271870093,0.871061574105035
CO2,4,1,0.893544988879223,0.893422962031584,0.893667015726861
CO2,4,2,0.931417194292166,0.931266068852951,0.931568319731382
CO2,4,3,0.965126622982404,0.964972891526222,0.965280354438586
CO2,4,4,0.988583280493789,0.988448542280355,0.988718018707223
CO2,4,5,1.01110475291428,1.01094252352155,1.01126698230702
CO2,4,6,1.04024173230543,1.04010195201183,1.04038151259903
CO2,4,7,1.06885529789679,1.06870781799584,1.06900277779774
CO2,4,8,1.08484692922987,1.08468874728324,1.0850051111765
CO2,4,9,1.08494232464319,1.08480820811135,1.08507644117503
CO2,4,10,1.07955266887062,1.07939189156385,1.0797134461774
CO2,4,11,1.0789126110282,1.07876901080605,1.07905621125035
CO2,4,12,1.08250548386885,1.0823618836467,1.082649084091
CO2,4,13,1.08469373762922,1.08453296032245,1.084854514936
CO2,4,14,1.08080228654769,1.08066817001586,1.08093640307953
CO2,4,15,1.06824054253132,1.06808236058469,1.06839872447795
CO2,4,16,1.0451354751747,1.04498799527375,1.04528295507564
CO2,4,17,1.01490438689943,1.01476460660583,1.01504416719303
CO2,4,18,0.984375081741447,0.984212852348712,0.984537311134181
CO2,4,19,0.957826375770132,0.957691637556698,0.957961113983566
CO2,4,20,0.932041274907989,0.931887543451807,0.932195006364171
CO2,4,21,0.903051133096103,0.902900007656888,0.903202258535318
CO2,4,22,0.877441525491174,0.877319498643536,0.877563552338813
CO2,4,23,0.870927146402983,0.87079271870093,0.871061574105035
CO2,5,0,0.966476040802693,0.965900951144357,0.967051130461028
CO2,5,1,0.965540660355542,0.965018231014237,0.966063089696846
CO2,5,2,0.966670713037377,0.966024467843073,0.96731695823168
CO2,5,3,0.970773293646087,0.970115761512103,0.971430825780071
CO2,5,4,0.978317325259395,0.97774053915047,0.97889411136832
CO2,5,5,0.989265158394457,0.988571641884632,0.989958674904282
CO2,5,6,1.00302633908384,1.00242811901316,1.00362455915452
CO2,5,7,1.01607498407175,1.01544413466055,1.01670583348296
CO2,5,8,1.02391767558793,1.02324136666391,1.02459398451196
CO2,5,9,1.02523695949501,1.02466280176034,1.02581111722968
CO2,5,10,1.02363971338969,1.02295239884928,1.0243270279301
CO2,5,11,1.02275488665762,1.02214049603188,1.02336927728337
CO2,5,12,1.02302262819801,1.02240823757227,1.02363701882376
CO2,5,13,1.02336542906368,1.02267811452327,1.02405274360409
CO2,5,14,1.02318233962672,1.02260818189205,1.02375649736139
CO2,5,15,1.02289139254527,1.02221508362124,1.02356770146929
CO2,5,16,1.02284283740625,1.02221198799504,1.02347368681745
CO2,5,17,1.02110736538321,1.02050914531253,1.02170558545389
CO2,5,18,1.01428708497972,1.01359356846989,1.01498060148954
CO2,5,19,1.00105136994544,1.00047458383651,1.00162815605436
CO2,5,20,0.986086602098308,0.985429069964323,0.986744134232292
CO2,5,21,0.974928857489811,0.974282612295508,0.975575102684114
CO2,5,22,0.969064302679486,0.968541873338182,0.96958673202079
CO2,5,23,0.966476040802693,0.965900951144357,0.967051130461028
CO2,6,0,0.66877018284984,0.665070477802195,0.672469887897484
CO2,6,1,0.494563234352574,0.491204620880532,0.497921847824616
CO2,6,2,0.332010717902948,0.327851604154633,0.336169831651262
CO2,6,3,0.240141678955337,0.23591077059743,0.244372587313245
CO2,6,4,0.264386498780737,0.260678056530188,0.268094941031287
CO2,6,5,0.434454073628239,0.429989479000692,0.438918668255785
CO2,6,6,0.757501000411578,0.75365386121985,0.761348139603306
CO2,6,7,1.11938834774204,1.11532946252417,1.12344723295991
CO2,6,8,1.36538326472243,1.36103000763853,1.36973652180634
CO2,6,9,1.43513499899725,1.43144365016265,1.43882634783186
CO2,6,10,1.41465067331318,1.4102260379078,1.41907530871855
CO2,6,11,1.39408848529869,1.39013630388106,1.39804066671631
CO2,6,12,1.39658789493317,1.39263571351554,1.40054007635079
CO2,6,13,1.41330363386567,1.40887899846029,1.41772826927105
CO2,6,14,1.4310770235587,1.4273856747241,1.4347683723933
CO2,6,15,1.42811691476886,1.42376365768496,1.43247017185277
CO2,6,16,1.38373092411813,1.37967203890026,1.387789809336
CO2,6,17,1.30263598069418,1.29878884150245,1.30648311988591
CO2,6,18,1.20593672942052,1.20147213479297,1.21040132404806
CO2,6,19,1.10964360878422,1.10593516653367,1.11335205103477
CO2,6,20,1.01432762735736,1.01009671899946,1.01855853571527
CO2,6,21,0.917352796733466,0.913193682985151,0.92151191048178
CO2,6,22,0.808043525961051,0.804684912489009,0.811402139433093
