NFR19,GNFR19,Source,Activity,Profile_ID
1A2c,B_Industry,Chemicals (combustion),Coal,INDU_MAN_CHE
1A2c,B_Industry,Chemicals (combustion),Fuel oil,INDU_MAN_CHE
1A2c,B_Industry,Chemicals (combustion),Gas oil,INDU_MAN_CHE
1A2c,B_Industry,Chemicals (combustion),Natural gas,INDU_MAN_CHE
1A2c,B_Industry,Chemicals (combustion),OPG,INDU_MAN_CHE
1A2c,B_Industry,Methanol production – combustion,Natural gas,INDU_PRO_GEN
1A2d,B_Industry,"Pulp, Paper and Print (combustion)",Coal,INDU_MAN_PAP
1A2d,B_Industry,"Pulp, Paper and Print (combustion)",Fuel oil,INDU_MAN_PAP
1A2d,B_Industry,"Pulp, Paper and Print (combustion)",Gas oil,INDU_MAN_PAP
1A2d,B_Industry,"Pulp, Paper and Print (combustion)",Natural gas,INDU_MAN_PAP
1A2e,B_Industry,"Food & drink, tobacco (combustion)",Coal,INDU_MAN_FAB
1A2e,B_Industry,"Food & drink, tobacco (combustion)",Fuel oil,INDU_MAN_FAB
1A2e,B_Industry,"Food & drink, tobacco (combustion)",Gas oil,INDU_MAN_FAB
1A2e,B_Industry,"Food & drink, tobacco (combustion)",Natural gas,INDU_MAN_FAB
1A2f,B_Industry,Cement - non-decarbonising,Clinker production,INDU_PRO_GEN
1A2f,B_Industry,Cement production - combustion,Coal,INDU_PRO_GEN
1A2f,B_Industry,Cement production - combustion,Fuel oil,INDU_PRO_GEN
1A2f,B_Industry,Cement production - combustion,Gas oil,INDU_PRO_GEN
1A2f,B_Industry,Cement production - combustion,Natural gas,INDU_PRO_GEN
1A2f,B_Industry,Cement production - combustion,Petroleum coke,INDU_PRO_GEN
1A2f,B_Industry,Cement production - combustion,Scrap tyres,INDU_PRO_GEN
1A2f,B_Industry,Cement production - combustion,Waste,INDU_PRO_GEN
1A2f,B_Industry,Cement production - combustion,Waste oils,INDU_PRO_GEN
1A2f,B_Industry,Cement production - combustion,Waste solvent,INDU_PRO_GEN
1A2f,B_Industry,Lime production - non decarbonising,Coal,INDU_PRO_GEN
1A2f,B_Industry,Lime production - non decarbonising,Coke,INDU_PRO_GEN
1A2f,B_Industry,Lime production - non decarbonising,Lime production,INDU_PRO_GEN
1A2f,B_Industry,Lime production - non decarbonising,Natural gas,INDU_PRO_GEN
1A2f,B_Industry,Other industrial combustion,Scrap tyres,INDU_MAN_GEN
1A2gvii,I_Offroad,Industrial off-road mobile machinery,DERV,OFFR_OTH
1A2gvii,I_Offroad,Industrial off-road mobile machinery,Gas oil,OFFR_OTH
1A2gvii,I_Offroad,Industrial off-road mobile machinery,Petrol,OFFR_OTH
1A2gviii,B_Industry,Autogeneration - exported to grid,Natural gas,MISC_ANY
1A2gviii,B_Industry,Autogenerators,Biogas,MISC_ANY
1A2gviii,B_Industry,Autogenerators,Natural gas,MISC_ANY
1A2gviii,B_Industry,Industrial engines,Lubricants,INDU_PRO_GEN
1A2gviii,B_Industry,Other industrial combustion,Biomass,INDU_MAN_GEN
1A2gviii,B_Industry,Other industrial combustion,Burning oil,INDU_MAN_GEN
1A2gviii,B_Industry,Other industrial combustion,Coal,INDU_MAN_GEN
1A2gviii,B_Industry,Other industrial combustion,Coke,INDU_MAN_GEN
1A2gviii,B_Industry,Other industrial combustion,Coke oven gas,INDU_MAN_GEN
1A2gviii,B_Industry,Other industrial combustion,Colliery methane,INDU_MAN_GEN
1A2gviii,B_Industry,Other industrial combustion,Fuel oil,INDU_MAN_GEN
1A2gviii,B_Industry,Other industrial combustion,Gas oil,INDU_MAN_GEN
1A2gviii,B_Industry,Other industrial combustion,LPG,INDU_MAN_GEN
1A2gviii,B_Industry,Other industrial combustion,Lubricants,INDU_MAN_GEN
1A2gviii,B_Industry,Other industrial combustion,Natural gas,INDU_MAN_GEN
1A2gviii,B_Industry,Other industrial combustion,OPG,INDU_MAN_GEN
1A2gviii,B_Industry,Other industrial combustion,Petroleum coke,INDU_MAN_GEN
1A2gviii,B_Industry,Other industrial combustion,SSF,INDU_MAN_GEN
1A2gviii,B_Industry,Other industrial combustion,Town gas,INDU_MAN_GEN
1A2gviii,B_Industry,Other industrial combustion,Waste solvent,INDU_MAN_GEN
1A2gviii,B_Industry,Other industrial combustion,Wood,INDU_MAN_GEN
1A3a,H_Aviation,Aircraft - domestic cruise,Aviation spirit,AVIA_GEN
1A3a,H_Aviation,Aircraft - domestic cruise,Aviation turbine fuel,AVIA_GEN
1A3a,H_Aviation,Aircraft - domestic take off and landing,Aviation spirit,AVIA_GEN
1A3a,H_Aviation,Aircraft - domestic take off and landing,Aviation turbine fuel,AVIA_GEN
1A3a,H_Aviation,Aircraft between UK and Bermuda - Cruise,Aviation spirit,AVIA_GEN
1A3a,H_Aviation,Aircraft between UK and Bermuda - Cruise,Aviation turbine fuel,AVIA_GEN
1A3a,H_Aviation,Aircraft between UK and Bermuda - TOL,Aviation spirit,AVIA_GEN
1A3a,H_Aviation,Aircraft between UK and Bermuda - TOL,Aviation turbine fuel,AVIA_GEN
1A3a,H_Aviation,Aircraft between UK and CDs - Cruise,Aviation spirit,AVIA_GEN
1A3a,H_Aviation,Aircraft between UK and CDs - Cruise,Aviation turbine fuel,AVIA_GEN
1A3a,H_Aviation,Aircraft between UK and CDs - TOL,Aviation spirit,AVIA_GEN
1A3a,H_Aviation,Aircraft between UK and CDs - TOL,Aviation turbine fuel,AVIA_GEN
1A3a,H_Aviation,Aircraft between UK and Gibraltar - Cruise,Aviation spirit,AVIA_GEN
1A3a,H_Aviation,Aircraft between UK and Gibraltar - Cruise,Aviation turbine fuel,AVIA_GEN
1A3a,H_Aviation,Aircraft between UK and Gibraltar - TOL,Aviation spirit,AVIA_GEN
1A3a,H_Aviation,Aircraft between UK and Gibraltar - TOL,Aviation turbine fuel,AVIA_GEN
1A3a,H_Aviation,Aircraft between UK and other OTs (excl Gib. and Bermuda) - Cruise,Aviation spirit,AVIA_GEN
1A3a,H_Aviation,Aircraft between UK and other OTs (excl Gib. and Bermuda) - Cruise,Aviation turbine fuel,AVIA_GEN
1A3a,H_Aviation,Aircraft between UK and other OTs (excl Gib. and Bermuda) - TOL,Aviation spirit,AVIA_GEN
1A3a,H_Aviation,Aircraft between UK and other OTs (excl Gib. and Bermuda) - TOL,Aviation turbine fuel,AVIA_GEN
1A3ai(i),H_Aviation,Aircraft - international take off and landing,Aviation spirit,AVIA_GEN
1A3ai(i),H_Aviation,Aircraft - international take off and landing,Aviation turbine fuel,AVIA_GEN
1A3ai(i),H_Aviation,Aircraft between UK and Bermuda - TOL,Aviation spirit,AVIA_GEN
1A3ai(i),H_Aviation,Aircraft between UK and Bermuda - TOL,Aviation turbine fuel,AVIA_GEN
1A3ai(i),H_Aviation,Aircraft between UK and CDs - TOL,Aviation spirit,AVIA_GEN
1A3ai(i),H_Aviation,Aircraft between UK and CDs - TOL,Aviation turbine fuel,AVIA_GEN
1A3ai(i),H_Aviation,Aircraft between UK and Gibraltar - TOL,Aviation spirit,AVIA_GEN
1A3ai(i),H_Aviation,Aircraft between UK and Gibraltar - TOL,Aviation turbine fuel,AVIA_GEN
1A3ai(i),H_Aviation,Aircraft between UK and other OTs (excl Gib. and Bermuda) - TOL,Aviation spirit,AVIA_GEN
1A3ai(i),H_Aviation,Aircraft between UK and other OTs (excl Gib. and Bermuda) - TOL,Aviation turbine fuel,AVIA_GEN
1A3ai(i),H_Aviation,Aircraft engines,Lubricants,AVIA_GEN
1A3aii(i),H_Aviation,Aircraft - domestic take off and landing,Aviation spirit,AVIA_GEN
1A3aii(i),H_Aviation,Aircraft - domestic take off and landing,Aviation turbine fuel,AVIA_GEN
1A3bi,F_RoadTransport,Road transport - cars - cold start,DERV,ROAD_CAT_ALL
1A3bi,F_RoadTransport,Road transport - cars - cold start,Petrol,ROAD_CAT_ALL
1A3bi,F_RoadTransport,Road transport - cars - motorway driving,DERV,ROAD_CAT_MOT
1A3bi,F_RoadTransport,Road transport - cars - motorway driving,Petrol,ROAD_CAT_MOT
1A3bi,F_RoadTransport,Road transport - cars - rural driving,DERV,ROAD_CAT_RUR
1A3bi,F_RoadTransport,Road transport - cars - rural driving,Petrol,ROAD_CAT_RUR
1A3bi,F_RoadTransport,Road transport - cars - urban driving,DERV,ROAD_CAT_URB
1A3bi,F_RoadTransport,Road transport - cars - urban driving,Petrol,ROAD_CAT_URB
1A3bii,F_RoadTransport,Road transport - LGVs - cold start,DERV,ROAD_LGV_ALL
1A3bii,F_RoadTransport,Road transport - LGVs - cold start,Petrol,ROAD_LGV_ALL
1A3bii,F_RoadTransport,Road transport - LGVs - motorway driving,DERV,ROAD_LGV_MOT
1A3bii,F_RoadTransport,Road transport - LGVs - motorway driving,Petrol,ROAD_LGV_MOT
1A3bii,F_RoadTransport,Road transport - LGVs - rural driving,DERV,ROAD_LGV_RUR
1A3bii,F_RoadTransport,Road transport - LGVs - rural driving,Petrol,ROAD_LGV_RUR
1A3bii,F_RoadTransport,Road transport - LGVs - urban driving,DERV,ROAD_LGV_URB
1A3bii,F_RoadTransport,Road transport - LGVs - urban driving,Petrol,ROAD_LGV_URB
1A3biii,F_RoadTransport,Road transport - buses and coaches - motorway driving,DERV,ROAD_BUS_MOT
1A3biii,F_RoadTransport,Road transport - buses and coaches - rural driving,DERV,ROAD_BUS_RUR
1A3biii,F_RoadTransport,Road transport - buses and coaches - urban driving,DERV,ROAD_BUS_URB
1A3biii,F_RoadTransport,Road transport - HGV articulated - motorway driving,DERV,ROAD_HGV_MOT
1A3biii,F_RoadTransport,Road transport - HGV articulated - rural driving,DERV,ROAD_HGV_RUR
1A3biii,F_RoadTransport,Road transport - HGV articulated - urban driving,DERV,ROAD_HGV_URB
1A3biii,F_RoadTransport,Road transport - HGV rigid - motorway driving,DERV,ROAD_HGV_MOT
1A3biii,F_RoadTransport,Road transport - HGV rigid - rural driving,DERV,ROAD_HGV_RUR
1A3biii,F_RoadTransport,Road transport - HGV rigid - urban driving,DERV,ROAD_HGV_URB
1A3biv,F_RoadTransport,Road transport - mopeds (<50cc 2st) - urban driving,Lubricants,ROAD_CYC_URB
1A3biv,F_RoadTransport,Road transport - mopeds (<50cc 2st) - urban driving,Petrol,ROAD_CYC_URB
1A3biv,F_RoadTransport,Road transport - motorcycle (>50cc  2st) - rural driving,Petrol,ROAD_CYC_RUR
1A3biv,F_RoadTransport,Road transport - motorcycle (>50cc  2st) - urban driving,Petrol,ROAD_CYC_URB
1A3biv,F_RoadTransport,Road transport - motorcycle (>50cc  4st) - motorway driving,Petrol,ROAD_CYC_MOT
1A3biv,F_RoadTransport,Road transport - motorcycle (>50cc  4st) - rural driving,Petrol,ROAD_CYC_RUR
1A3biv,F_RoadTransport,Road transport - motorcycle (>50cc  4st) - urban driving,Petrol,ROAD_CYC_URB
1A3bv,F_RoadTransport,Road transport - all vehicles biofuels use,Biodiesel,ROAD_CAT_ALL
1A3bv,F_RoadTransport,Road transport - all vehicles biofuels use,Bio-MTBE,ROAD_CAT_ALL
1A3bv,F_RoadTransport,Road transport - all vehicles LPG use,LPG,ROAD_CAT_ALL
1A3bv,F_RoadTransport,Road transport - cars - evaporative,Petrol,ROAD_CAT_ALL
1A3bv,F_RoadTransport,Road transport - LGVs - evaporative,Petrol,ROAD_CAT_ALL
1A3bv,F_RoadTransport,Road transport - mopeds (<50cc 2st) - evaporative,Petrol,ROAD_CYC_ALL
1A3bv,F_RoadTransport,Road transport - motorcycle (>50cc  2st) - evaporative,Petrol,ROAD_CYC_ALL
1A3bv,F_RoadTransport,Road transport - motorcycle (>50cc  4st) - evaporative,Petrol,ROAD_CYC_ALL
1A3bvi,F_RoadTransport,Road transport - buses and coaches - motorway driving,Brake wear,ROAD_BUS_MOT
1A3bvi,F_RoadTransport,Road transport - buses and coaches - motorway driving,Tyre wear,ROAD_BUS_MOT
1A3bvi,F_RoadTransport,Road transport - buses and coaches - rural driving,Brake wear,ROAD_BUS_RUR
1A3bvi,F_RoadTransport,Road transport - buses and coaches - rural driving,Tyre wear,ROAD_BUS_RUR
1A3bvi,F_RoadTransport,Road transport - buses and coaches - urban driving,Brake wear,ROAD_BUS_URB
1A3bvi,F_RoadTransport,Road transport - buses and coaches - urban driving,Tyre wear,ROAD_BUS_URB
1A3bvi,F_RoadTransport,Road transport - cars - motorway driving,Brake wear,ROAD_CAT_MOT
1A3bvi,F_RoadTransport,Road transport - cars - motorway driving,Tyre wear,ROAD_CAT_MOT
1A3bvi,F_RoadTransport,Road transport - cars - rural driving,Brake wear,ROAD_CAT_RUR
1A3bvi,F_RoadTransport,Road transport - cars - rural driving,Tyre wear,ROAD_CAT_RUR
1A3bvi,F_RoadTransport,Road transport - cars - urban driving,Brake wear,ROAD_CAT_URB
1A3bvi,F_RoadTransport,Road transport - cars - urban driving,Tyre wear,ROAD_CAT_URB
1A3bvi,F_RoadTransport,Road transport - HGV articulated - motorway driving,Brake wear,ROAD_HGV_MOT
1A3bvi,F_RoadTransport,Road transport - HGV articulated - motorway driving,Tyre wear,ROAD_HGV_MOT
1A3bvi,F_RoadTransport,Road transport - HGV articulated - rural driving,Brake wear,ROAD_HGV_RUR
1A3bvi,F_RoadTransport,Road transport - HGV articulated - rural driving,Tyre wear,ROAD_HGV_RUR
1A3bvi,F_RoadTransport,Road transport - HGV articulated - urban driving,Brake wear,ROAD_HGV_URB
1A3bvi,F_RoadTransport,Road transport - HGV articulated - urban driving,Tyre wear,ROAD_HGV_URB
1A3bvi,F_RoadTransport,Road transport - HGV rigid - motorway driving,Brake wear,ROAD_HGV_MOT
1A3bvi,F_RoadTransport,Road transport - HGV rigid - motorway driving,Tyre wear,ROAD_HGV_MOT
1A3bvi,F_RoadTransport,Road transport - HGV rigid - rural driving,Brake wear,ROAD_HGV_RUR
1A3bvi,F_RoadTransport,Road transport - HGV rigid - rural driving,Tyre wear,ROAD_HGV_RUR
1A3bvi,F_RoadTransport,Road transport - HGV rigid - urban driving,Brake wear,ROAD_HGV_URB
1A3bvi,F_RoadTransport,Road transport - HGV rigid - urban driving,Tyre wear,ROAD_HGV_URB
1A3bvi,F_RoadTransport,Road transport - LGVs - motorway driving,Brake wear,ROAD_LGV_MOT
1A3bvi,F_RoadTransport,Road transport - LGVs - motorway driving,Tyre wear,ROAD_LGV_MOT
1A3bvi,F_RoadTransport,Road transport - LGVs - rural driving,Brake wear,ROAD_LGV_RUR
1A3bvi,F_RoadTransport,Road transport - LGVs - rural driving,Tyre wear,ROAD_LGV_RUR
1A3bvi,F_RoadTransport,Road transport - LGVs - urban driving,Brake wear,ROAD_LGV_URB
1A3bvi,F_RoadTransport,Road transport - LGVs - urban driving,Tyre wear,ROAD_LGV_URB
1A3bvi,F_RoadTransport,Road transport - mopeds (<50cc 2st) - urban driving,Brake wear,ROAD_CYC_URB
1A3bvi,F_RoadTransport,Road transport - mopeds (<50cc 2st) - urban driving,Tyre wear,ROAD_CYC_URB
1A3bvi,F_RoadTransport,Road transport - motorcycle (>50cc  2st) - rural driving,Brake wear,ROAD_CYC_RUR
1A3bvi,F_RoadTransport,Road transport - motorcycle (>50cc  2st) - rural driving,Tyre wear,ROAD_CYC_RUR
1A3bvi,F_RoadTransport,Road transport - motorcycle (>50cc  2st) - urban driving,Brake wear,ROAD_CYC_URB
1A3bvi,F_RoadTransport,Road transport - motorcycle (>50cc  2st) - urban driving,Tyre wear,ROAD_CYC_URB
1A3bvi,F_RoadTransport,Road transport - motorcycle (>50cc  4st) - motorway driving,Brake wear,ROAD_CYC_MOT
1A3bvi,F_RoadTransport,Road transport - motorcycle (>50cc  4st) - motorway driving,Tyre wear,ROAD_CYC_MOT
1A3bvi,F_RoadTransport,Road transport - motorcycle (>50cc  4st) - rural driving,Brake wear,ROAD_CYC_RUR
1A3bvi,F_RoadTransport,Road transport - motorcycle (>50cc  4st) - rural driving,Tyre wear,ROAD_CYC_RUR
1A3bvi,F_RoadTransport,Road transport - motorcycle (>50cc  4st) - urban driving,Brake wear,ROAD_CYC_URB
1A3bvi,F_RoadTransport,Road transport - motorcycle (>50cc  4st) - urban driving,Tyre wear,ROAD_CYC_URB
1A3bvii,F_RoadTransport,Road transport - buses and coaches - motorway driving,Road abrasion,ROAD_BUS_MOT
1A3bvii,F_RoadTransport,Road transport - buses and coaches - rural driving,Road abrasion,ROAD_BUS_RUR
1A3bvii,F_RoadTransport,Road transport - buses and coaches - urban driving,Road abrasion,ROAD_BUS_URB
1A3bvii,F_RoadTransport,Road transport - cars - motorway driving,Road abrasion,ROAD_CAT_MOT
1A3bvii,F_RoadTransport,Road transport - cars - rural driving,Road abrasion,ROAD_CAT_RUR
1A3bvii,F_RoadTransport,Road transport - cars - urban driving,Road abrasion,ROAD_CAT_URB
1A3bvii,F_RoadTransport,Road transport - HGV articulated - motorway driving,Road abrasion,ROAD_HGV_MOT
1A3bvii,F_RoadTransport,Road transport - HGV articulated - rural driving,Road abrasion,ROAD_HGV_RUR
1A3bvii,F_RoadTransport,Road transport - HGV articulated - urban driving,Road abrasion,ROAD_HGV_URB
1A3bvii,F_RoadTransport,Road transport - HGV rigid - motorway driving,Road abrasion,ROAD_HGV_MOT
1A3bvii,F_RoadTransport,Road transport - HGV rigid - rural driving,Road abrasion,ROAD_HGV_RUR
1A3bvii,F_RoadTransport,Road transport - HGV rigid - urban driving,Road abrasion,ROAD_HGV_URB
1A3bvii,F_RoadTransport,Road transport - LGVs - motorway driving,Road abrasion,ROAD_LGV_MOT
1A3bvii,F_RoadTransport,Road transport - LGVs - rural driving,Road abrasion,ROAD_LGV_RUR
1A3bvii,F_RoadTransport,Road transport - LGVs - urban driving,Road abrasion,ROAD_LGV_URB
1A3bvii,F_RoadTransport,Road transport - mopeds (<50cc 2st) - urban driving,Road abrasion,ROAD_CYC_URB
1A3bvii,F_RoadTransport,Road transport - motorcycle (>50cc  2st) - rural driving,Road abrasion,ROAD_CYC_RUR
1A3bvii,F_RoadTransport,Road transport - motorcycle (>50cc  2st) - urban driving,Road abrasion,ROAD_CYC_URB
