NFR19,SNAP,Source,Activity,Profile_ID
1A3a,8,Aircraft between UK and CDs - Cruise,Aviation turbine fuel,AVIA_GEN
1A3a,8,Aircraft between UK and CDs - TOL,Aviation spirit,AVIA_GEN
1A3a,8,Aircraft between UK and CDs - TOL,Aviation turbine fuel,AVIA_GEN
1A3a,8,Aircraft between UK and Gibraltar - Cruise,Aviation spirit,AVIA_GEN
1A3a,8,Aircraft between UK and Gibraltar - Cruise,Aviation turbine fuel,AVIA_GEN
1A3a,8,Aircraft between UK and Gibraltar - TOL,Aviation spirit,AVIA_GEN
1A3a,8,Aircraft between UK and Gibraltar - TOL,Aviation turbine fuel,AVIA_GEN
1A3a,8,Aircraft between UK and other OTs (excl Gib. and Bermuda) - Cruise,Aviation spirit,AVIA_GEN
1A3a,8,Aircraft between UK and other OTs (excl Gib. and Bermuda) - Cruise,Aviation turbine fuel,AVIA_GEN
1A3a,8,Aircraft between UK and other OTs (excl Gib. and Bermuda) - TOL,Aviation spirit,AVIA_GEN
1A3a,8,Aircraft between UK and other OTs (excl Gib. and Bermuda) - TOL,Aviation turbine fuel,AVIA_GEN
1A3ai(i),8,Aircraft - international take off and landing,Aviation spirit,AVIA_GEN
1A3ai(i),8,Aircraft - international take off and landing,Aviation turbine fuel,AVIA_GEN
1A3ai(i),8,Aircraft between UK and Bermuda - TOL,Aviation spirit,AVIA_GEN
1A3ai(i),8,Aircraft between UK and Bermuda - TOL,Aviation turbine fuel,AVIA_GEN
1A3ai(i),8,Aircraft between UK and CDs - TOL,Aviation spirit,AVIA_GEN
1A3ai(i),8,Aircraft between UK and CDs - TOL,Aviation turbine fuel,AVIA_GEN
1A3ai(i),8,Aircraft between UK and Gibraltar - TOL,Aviation spirit,AVIA_GEN
1A3ai(i),8,Aircraft between UK and Gibraltar - TOL,Aviation turbine fuel,AVIA_GEN
1A3ai(i),8,Aircraft between UK and other OTs (excl Gib. and Bermuda) - TOL,Aviation spirit,AVIA_GEN
1A3ai(i),8,Aircraft between UK and other OTs (excl Gib. and Bermuda) - TOL,Aviation turbine fuel,AVIA_GEN
1A3ai(i),8,Aircraft engines,Lubricants,AVIA_GEN
1A3aii(i),8,Aircraft - domestic take off and landing,Aviation spirit,AVIA_GEN
1A3aii(i),8,Aircraft - domestic take off and landing,Aviation turbine fuel,AVIA_GEN
1A3bi,7,Road transport - cars - cold start,DERV,ROAD_CAT_ALL
1A3bi,7,Road transport - cars - cold start,Petrol,ROAD_CAT_ALL
1A3bi,7,Road transport - cars - motorway driving,DERV,ROAD_CAT_MOT
1A3bi,7,Road transport - cars - motorway driving,Petrol,ROAD_CAT_MOT
1A3bi,7,Road transport - cars - rural driving,DERV,ROAD_CAT_RUR
1A3bi,7,Road transport - cars - rural driving,Petrol,ROAD_CAT_RUR
1A3bi,7,Road transport - cars - urban driving,DERV,ROAD_CAT_URB
1A3bi,7,Road transport - cars - urban driving,Petrol,ROAD_CAT_URB
1A3bii,7,Road transport - LGVs - cold start,DERV,ROAD_LGV_ALL
1A3bii,7,Road transport - LGVs - cold start,Petrol,ROAD_LGV_ALL
1A3bii,7,Road transport - LGVs - motorway driving,DERV,ROAD_LGV_MOT
1A3bii,7,Road transport - LGVs - motorway driving,Petrol,ROAD_LGV_MOT
1A3bii,7,Road transport - LGVs - rural driving,DERV,ROAD_LGV_RUR
1A3bii,7,Road transport - LGVs - rural driving,Petrol,ROAD_LGV_RUR
1A3bii,7,Road transport - LGVs - urban driving,DERV,ROAD_LGV_URB
1A3bii,7,Road transport - LGVs - urban driving,Petrol,ROAD_LGV_URB
1A3biii,7,Road transport - buses and coaches - motorway driving,DERV,ROAD_BUS_MOT
1A3biii,7,Road transport - buses and coaches - rural driving,DERV,ROAD_BUS_RUR
1A3biii,7,Road transport - buses and coaches - urban driving,DERV,ROAD_BUS_URB
1A3biii,7,Road transport - HGV articulated - motorway driving,DERV,ROAD_HGV_MOT
1A3biii,7,Road transport - HGV articulated - rural driving,DERV,ROAD_HGV_RUR
1A3biii,7,Road transport - HGV articulated - urban driving,DERV,ROAD_HGV_URB
1A3biii,7,Road transport - HGV rigid - motorway driving,DERV,ROAD_HGV_MOT
1A3biii,7,Road transport - HGV rigid - rural driving,DERV,ROAD_HGV_RUR
1A3biii,7,Road transport - HGV rigid - urban driving,DERV,ROAD_HGV_URB
1A3biv,7,Road transport - mopeds (<50cc 2st) - urban driving,Lubricants,ROAD_CYC_URB
1A3biv,7,Road transport - mopeds (<50cc 2st) - urban driving,Petrol,ROAD_CYC_URB
1A3biv,7,Road transport - motorcycle (>50cc  2st) - rural driving,Petrol,ROAD_CYC_RUR
1A3biv,7,Road transport - motorcycle (>50cc  2st) - urban driving,Petrol,ROAD_CYC_URB
1A3biv,7,Road transport - motorcycle (>50cc  4st) - motorway driving,Petrol,ROAD_CYC_MOT
1A3biv,7,Road transport - motorcycle (>50cc  4st) - rural driving,Petrol,ROAD_CYC_RUR
1A3biv,7,Road transport - motorcycle (>50cc  4st) - urban driving,Petrol,ROAD_CYC_URB
1A3bv,7,Road transport - all vehicles biofuels use,Biodiesel,ROAD_CAT_ALL
1A3bv,7,Road transport - all vehicles biofuels use,Bio-MTBE,ROAD_CAT_ALL
1A3bv,7,Road transport - all vehicles LPG use,LPG,ROAD_CAT_ALL
1A3bv,7,Road transport - cars - evaporative,Petrol,ROAD_CAT_ALL
