Profile_ID,month,N
AGRI_HOU_POU,6,0.083333333
AGRI_HOU_POU,7,0.083333333
AGRI_HOU_POU,8,0.083333333
AGRI_HOU_POU,9,0.083333333
AGRI_HOU_POU,10,0.083333333
AGRI_HOU_POU,11,0.083333333
AGRI_HOU_POU,12,0.083333333
AGRI_HOU_SHP,1,0
AGRI_HOU_SHP,2,0
AGRI_HOU_SHP,3,0.5
AGRI_HOU_SHP,4,0.5
AGRI_HOU_SHP,5,0
AGRI_HOU_SHP,6,0
AGRI_HOU_SHP,7,0
AGRI_HOU_SHP,8,0
AGRI_HOU_SHP,9,0
AGRI_HOU_SHP,10,0
AGRI_HOU_SHP,11,0
AGRI_HOU_SHP,12,0
AGRI_SPR_BIO,1,0.013536524
AGRI_SPR_BIO,2,0.057103735
AGRI_SPR_BIO,3,0.057103735
AGRI_SPR_BIO,4,0.057103735
AGRI_SPR_BIO,5,0.006887536
AGRI_SPR_BIO,6,0.006887536
AGRI_SPR_BIO,7,0.006887536
AGRI_SPR_BIO,8,0.270066769
AGRI_SPR_BIO,9,0.409455441
AGRI_SPR_BIO,10,0.087894405
AGRI_SPR_BIO,11,0.013536524
AGRI_SPR_BIO,12,0.013536524
AGRI_SPR_CAT,1,0.031094892
AGRI_SPR_CAT,2,0.155811854
AGRI_SPR_CAT,3,0.155811854
AGRI_SPR_CAT,4,0.155811854
AGRI_SPR_CAT,5,0.066458883
AGRI_SPR_CAT,6,0.066458883
AGRI_SPR_CAT,7,0.066458883
AGRI_SPR_CAT,8,0.077349788
AGRI_SPR_CAT,9,0.111559607
AGRI_SPR_CAT,10,0.050993716
AGRI_SPR_CAT,11,0.031094892
AGRI_SPR_CAT,12,0.031094892
AGRI_SPR_FER,1,0
AGRI_SPR_FER,2,0.041995484
AGRI_SPR_FER,3,0.276003365
AGRI_SPR_FER,4,0.396873116
AGRI_SPR_FER,5,0.180121653
AGRI_SPR_FER,6,0.054605893
AGRI_SPR_FER,7,0.028090908
AGRI_SPR_FER,8,0.014170891
AGRI_SPR_FER,9,0.00724077
AGRI_SPR_FER,10,0.000742608
AGRI_SPR_FER,11,0.000155311
AGRI_SPR_FER,12,0
AGRI_SPR_NMD,1,0.020406593
AGRI_SPR_NMD,2,0.172440236
AGRI_SPR_NMD,3,0.172440236
AGRI_SPR_NMD,4,0.172440236
AGRI_SPR_NMD,5,0.040776361
AGRI_SPR_NMD,6,0.040776361
AGRI_SPR_NMD,7,0.040776361
AGRI_SPR_NMD,8,0.118494643
AGRI_SPR_NMD,9,0.148804314
AGRI_SPR_NMD,10,0.031831476
AGRI_SPR_NMD,11,0.020406593
AGRI_SPR_NMD,12,0.020406593
AGRI_SPR_OTH,1,0.024207709
AGRI_SPR_OTH,2,0.102563165
AGRI_SPR_OTH,3,0.102563165
AGRI_SPR_OTH,4,0.102563165
AGRI_SPR_OTH,5,0.064040051
AGRI_SPR_OTH,6,0.064040051
AGRI_SPR_OTH,7,0.064040051
AGRI_SPR_OTH,8,0.161485158
AGRI_SPR_OTH,9,0.204505816
AGRI_SPR_OTH,10,0.06157625
AGRI_SPR_OTH,11,0.024207709
AGRI_SPR_OTH,12,0.024207709
AGRI_SPR_PIG,1,0.008776289
AGRI_SPR_PIG,2,0.123637887
AGRI_SPR_PIG,3,0.123637887
AGRI_SPR_PIG,4,0.123637887
AGRI_SPR_PIG,5,0.013781789
AGRI_SPR_PIG,6,0.013781789
AGRI_SPR_PIG,7,0.013781789
AGRI_SPR_PIG,8,0.295545804
AGRI_SPR_PIG,9,0.207714111
AGRI_SPR_PIG,10,0.05815219
AGRI_SPR_PIG,11,0.008776289
AGRI_SPR_PIG,12,0.008776289
AGRI_SPR_POU,1,0.005495719
AGRI_SPR_POU,2,0.099621833
AGRI_SPR_POU,3,0.099621833
AGRI_SPR_POU,4,0.099621833
AGRI_SPR_POU,5,0.028795213
