Pollutant,sector,month,coeff,coeff_l,coeff_u
CO2,5,1,1.11365941099096,1.1119425357925,1.11537628618941
CO2,5,2,1.0221538585986,1.02051280466353,1.02379491253367
CO2,5,3,1.06091084943118,1.05945469976032,1.06236699910203
CO2,5,4,1.08648073326212,1.08509109761217,1.08787036891206
CO2,5,5,1.02285267786021,1.02131750977133,1.02438784594909
CO2,5,6,0.970111323518424,0.96844492041748,0.971777726619369
CO2,5,7,0.953938620095467,0.952272216994523,0.955605023196412
CO2,5,8,0.845489103969153,0.843953935880278,0.847024272058028
CO2,5,9,0.885006569198082,0.883616933548137,0.886396204848026
CO2,5,10,0.987623481249981,0.986167331579126,0.989079630920836
CO2,5,11,1.00940636031374,1.00776530637867,1.0110474142488
CO2,5,12,1.0423670115121,1.04065013631364,1.04408388671055
CO2,6,1,1.00019938122045,1.00011269802315,1.00028606441775
CO2,6,2,1.00016313064041,1.0000875057317,1.00023875554912
CO2,6,3,1.00012687999411,1.00006135621102,1.0001924037772
CO2,6,4,1.00009062920149,1.00003379119569,1.00014746720729
CO2,6,5,1.00005437818749,1.00000412535394,1.00010463102103
CO2,6,6,1.00001812690459,0.999971502974542,1.00006475083463
CO2,6,7,0.999981875350872,0.999935251420825,1.00002849928092
CO2,6,8,0.999945623582677,0.999895370749136,0.999995876416218
CO2,6,9,0.999909371685092,0.99985253367929,0.999966209690894
CO2,6,10,0.999873119727964,0.999807595944869,0.999938643511058
CO2,6,11,0.999836867747656,0.999761242838946,0.999912492656365
CO2,6,12,0.999800615757208,0.99971393255991,0.999887298954506
CO2,7,1,0.911052934611319,0.909651222632685,0.912454646589952
CO2,7,2,0.946254029956781,0.944936495477677,0.947571564435885
CO2,7,3,0.97543310801694,0.974261162759125,0.976605053274754
CO2,7,4,0.997816373841519,0.996688412549044,0.998944335133993
CO2,7,5,1.01653165071398,1.01529888938252,1.01776441204543
CO2,7,6,1.03142545697342,1.03009759629463,1.03275331765221
CO2,7,7,1.03804326975224,1.03671540907345,1.03937113043104
CO2,7,8,1.03930158956423,1.03806882823277,1.04053435089569
CO2,7,9,1.03840663721924,1.03727867592677,1.03953459851172
CO2,7,10,1.02999788437192,1.02882593911411,1.03116982962974
CO2,7,11,1.00643645918304,1.00511892470394,1.00775399366215
CO2,7,12,0.969300605795365,0.967898893816732,0.970702317773999
CO2,8,1,0.859791023113065,0.854688749301869,0.864893296924261
CO2,8,2,0.889239414756844,0.884392027359074,0.894086802154614
CO2,8,3,0.970526196441847,0.966221690932176,0.974830701951519
CO2,8,4,1.02106861422276,1.01694730041208,1.02518992803343
CO2,8,5,1.06102157473782,1.0564868807745,1.06555626870114
CO2,8,6,1.12516522977255,1.12025724363535,1.13007321590976
CO2,8,7,1.10584036517963,1.10093237904243,1.11074835131684
CO2,8,8,1.05431521878216,1.04978052481884,1.05884991274547
CO2,8,9,1.03335536361881,1.02923404980814,1.03747667742948
CO2,8,10,1.0061122677146,1.00180776220493,1.01041677322427
CO2,8,11,0.953883382183724,0.949035994785954,0.958730769581494
CO2,8,12,0.919681349476192,0.914579075664996,0.924783623287387
CO2,9,1,0.998827697204842,0.998744988458751,0.998910405950933
CO2,9,2,0.999040842394375,0.99896868494199,0.999112999846761
CO2,9,3,0.999253987549628,0.999191468088428,0.999316507010829
CO2,9,4,0.999467132689469,0.999412900745108,0.999521364633831
CO2,9,5,0.999680277911414,0.999632329182485,0.999728226640343
CO2,9,6,0.999893423409278,0.999848937178358,0.999937909640198
CO2,9,7,1.00010656946194,1.00006208323102,1.00015105569286
CO2,9,8,1.00031971635456,1.00027176762563,1.00036766508349
CO2,9,9,1.00053286425284,1.00047863230848,1.00058709619721
CO2,9,10,1.0007460131385,1.0006834936773,1.0008085325997
CO2,9,11,1.00095916279025,1.00088700533786,1.00103132024263
CO2,9,12,1.00117231284291,1.00108960409682,1.001255021589
CO2,avi.cruise,1,0.820195999191492,0.810228502881237,0.830163495501746
CO2,avi.cruise,2,0.883232216494372,0.874789478617808,0.891674954370937
CO2,avi.cruise,3,0.945097258507739,0.937322156141175,0.952872360874303
CO2,avi.cruise,4,1.00510636028553,0.997450999642536,1.01276172092853
CO2,avi.cruise,5,1.05856676724226,1.05057564951266,1.06655788497186
CO2,avi.cruise,6,1.09725032694559,1.08891009757152,1.10559055631966
CO2,avi.cruise,7,1.11478013453795,1.10643990516388,1.12312036391202
CO2,avi.cruise,8,1.10944085204608,1.10144973431648,1.11743196977568
CO2,avi.cruise,9,1.08041880470523,1.07276344406223,1.08807416534823
CO2,avi.cruise,10,1.02907335439232,1.02129825202576,1.03684845675889
CO2,avi.cruise,11,0.963268117228244,0.954825379351679,0.971710855104808
CO2,avi.cruise,12,0.893569808423193,0.883602312112938,0.903537304733447
