Profile_ID,longname,SNAP,emission,prop,species
ENER_GAS,Energy generation (natural gas),1,0.799989739039172,0.0512329620016086,ch4
ENER_COA,Energy generation (coal),1,0.0695347529416408,0.00445314631101273,ch4
ENER_OIL,Energy generation (oil),1,0.0625698994598127,0.00400710299774494,ch4
ENER_BIO,Energy generation (biomass),1,0.0587559741866148,0.00376285150417777,ch4
INDU_MAN_CAP,Manufacture of coke and refined petroleum product,1,0.00646100928252504,0.000413776111005141,ch4
INDU_MIN_GEN,Mining and quarrying,1,0.00114292346236005,7.31951317127733e-05,ch4
STAT_DOM_WOO,Stationary combustion; domestic (wood),2,26.2878793598622,0.627020215173637,ch4
STAT_DOM_GAS,Stationary combustion; domestic (natural gas),2,5.03913759503904,0.120193838988597,ch4
STAT_DOM_SOL,Stationary combustion; domestic (other solid fuels),2,4.27450640736745,0.101955805967404,ch4
STAT_DOM_COA,Stationary combustion; domestic (coal),2,2.659315957478,0.0634301778795626,ch4
STAT_PIC_GAS,"Stationary combustion; public sector, commercial or industrial/institutional (natural gas)",2,1.70042309211106,0.0405586026360739,ch4
MISC_ANY,Miscellaneous,2,0.930861397030617,0.0222029668301867,ch4
STAT_DOM_OIL,Stationary combustion; domestic (oil),2,0.901122963111933,0.0214936437623438,ch4
STAT_PIC_OIL,"Stationary combustion; public sector, commercial or industrial/institutional (oil)",2,0.0643077329005126,0.00153387224464269,ch4
STAT_DOM_OTH,Stationary combustion; domestic (other fuels),2,0.0579589667493453,0.00138244105981041,ch4
STAT_PIC_COA,"Stationary combustion; public sector, commercial or industrial/institutional (coal)",2,0.00931256786463559,0.000222123976847614,ch4
RAIL_PAS,Railways (passenger),2,0.000264609408656287,6.31148089510646e-06,ch4
INDU_MAN_GEN,Industrial manufacturing,3,3.33830471216288,0.758197511939678,ch4
INDU_PRO_GEN,Industrial production,3,0.650039314173483,0.147637268962781,ch4
INDU_MAN_CHE,Manufacture of chemicals and chemical products,3,0.101498164881501,0.0230523162847343,ch4
MISC_ANY,Miscellaneous,3,0.0967671872630387,0.0219778141740397,ch4
INDU_MAN_FAB,Manufacture of Food products beverages and tobacco,3,0.0879595267522941,0.0199774137130137,ch4
INDU_MAN_IRO,Manufacture of basic iron and steel,3,0.0639919791072556,0.0145338917584255,ch4
INDU_MAN_PAP,Manufacture Of Paper And Paper Products,3,0.0472848770155056,0.0107393659946345,ch4
INDU_MAN_MET,Manufacture of basic metals and metal products,3,0.0171028893492867,0.00388441717269341,ch4
INDU_MAN_CHE,Manufacture of chemicals and chemical products,4,2.72329429124495,0.867327528575319,ch4
INDU_PRO_GEN,Industrial production,4,0.397692332905228,0.12665891796599,ch4
INDU_MAN_IRO,Manufacture of basic iron and steel,4,0.0188817664199462,0.00601355345869057,ch4
MISC_ANY,Miscellaneous,5,151.560617905064,0.749382085010659,ch4
INDU_EXT_PAG,Extraction Of Crude Petroleum And Natural Gas,5,47.0688077343762,0.232728803606799,ch4
INDU_MIN_GEN,Mining and quarrying,5,2.20958139115214,0.0109251382898131,ch4
INDU_MAN_PET,Manufacture of petrochemicals - 20.14/16/17/60,5,1.136764,0.00562065916766492,ch4
INDU_MAN_CAP,Manufacture of coke and refined petroleum product,5,0.271157496228075,0.001340721440031,ch4
INDU_MAN_IRO,Manufacture of basic iron and steel,5,0.0005243234945544,2.59248503338362e-06,ch4
ROAD_CAT_URB,"Road transport, cars and taxis (urban)",7,2.63796625811488,0.688682345880307,ch4
ROAD_CAT_RUR,"Road transport, cars and taxis (rural)",7,0.411520010635411,0.107433734388858,ch4
ROAD_CYC_URB,"Road transport, motorcycles (urban)",7,0.216222232916844,0.0564481953241745,ch4
ROAD_CAT_MOT,"Road transport, cars and taxis (motorway)",7,0.206283146006962,0.0538534412525673,ch4
ROAD_CYC_RUR,"Road transport, motorcycles (rural)",7,0.0960956222448408,0.0250872649916672,ch4
